sample_id,cube_id,input_start_frame,input_len,target_frame,target_date,has_event,severity,split
3452,148,0,14,20,2021-01-21,False,0,train
3453,148,1,14,21,2021-01-22,False,0,train
3454,148,2,14,22,2021-01-23,False,0,train
3455,148,3,14,23,2021-01-24,False,0,train
3456,148,4,14,24,2021-01-25,False,0,train
3457,148,5,14,25,2021-01-26,False,0,train
3458,148,6,14,26,2021-01-27,False,0,train
3459,148,7,14,27,2021-01-28,False,0,train
3460,148,8,14,28,2021-01-29,False,0,train
3461,148,9,14,29,2021-01-30,False,0,train
3462,148,10,14,30,2021-01-31,False,0,train
3463,148,11,14,31,2021-02-01,False,0,train
3464,148,12,14,32,2021-02-02,False,0,train
3465,148,13,14,33,2021-02-03,False,0,train
3466,148,14,14,34,2021-02-04,False,0,train
3467,148,15,14,35,2021-02-05,False,0,train
3468,148,16,14,36,2021-02-06,False,0,train
3469,148,17,14,37,2021-02-07,False,0,train
3470,148,18,14,38,2021-02-08,False,0,train
3471,148,19,14,39,2021-02-09,False,0,train
3472,148,20,14,40,2021-02-10,False,0,train
3473,148,21,14,41,2021-02-11,False,0,train
3474,148,22,14,42,2021-02-12,False,0,train
3475,148,23,14,43,2021-02-13,False,0,train
3476,148,24,14,44,2021-02-14,False,0,train
3477,148,25,14,45,2021-02-15,False,0,train
3478,148,26,14,46,2021-02-16,False,0,train
3479,148,27,14,47,2021-02-17,False,0,train
3480,148,28,14,48,2021-02-18,False,0,train
3481,148,29,14,49,2021-02-19,False,0,train
3482,148,30,14,50,2021-02-20,False,0,train
3483,148,31,14,51,2021-02-21,False,0,train
3484,148,32,14,52,2021-02-22,False,0,train
3485,148,33,14,53,2021-02-23,False,0,train
3486,148,34,14,54,2021-02-24,False,0,train
3487,148,35,14,55,2021-02-25,False,0,train
3488,148,36,14,56,2021-02-26,False,0,train
3489,148,37,14,57,2021-02-27,False,0,train
3490,148,38,14,58,2021-02-28,False,0,train
3491,148,39,14,59,2021-03-01,False,0,train
3492,148,40,14,60,2021-03-02,False,0,train
3493,148,41,14,61,2021-03-03,False,0,train
3494,148,42,14,62,2021-03-04,False,0,train
3495,148,43,14,63,2021-03-05,False,0,train
3496,148,44,14,64,2021-03-06,False,0,train
3497,148,45,14,65,2021-03-07,False,0,train
3498,148,46,14,66,2021-03-08,False,0,train
3499,148,47,14,67,2021-03-09,False,0,train
3500,148,48,14,68,2021-03-10,False,0,train
3501,148,49,14,69,2021-03-11,False,0,train
3502,148,50,14,70,2021-03-12,False,0,train
3503,148,51,14,71,2021-03-13,False,0,train
3504,148,52,14,72,2021-03-14,False,0,train
3505,148,53,14,73,2021-03-15,False,0,train
3506,148,54,14,74,2021-03-16,False,0,train
3507,148,55,14,75,2021-03-17,False,0,train
3508,148,56,14,76,2021-03-18,False,0,train
3509,148,57,14,77,2021-03-19,False,0,train
3510,148,58,14,78,2021-03-20,False,0,train
3511,148,59,14,79,2021-03-21,False,0,train
3512,148,60,14,80,2021-03-22,False,0,train
