sample_id,cube_id,input_start_frame,input_len,target_frame,target_date,has_event,severity,split
1,34,0,14,20,2021-01-21,False,0,train
2,34,1,14,21,2021-01-22,False,0,train
3,34,2,14,22,2021-01-23,False,0,train
4,34,3,14,23,2021-01-24,False,0,train
5,34,4,14,24,2021-01-25,False,0,train
6,34,5,14,25,2021-01-26,False,0,train
7,34,6,14,26,2021-01-27,False,0,train
8,34,7,14,27,2021-01-28,False,0,train
9,34,8,14,28,2021-01-29,False,0,train
10,34,9,14,29,2021-01-30,False,0,train
11,34,10,14,30,2021-01-31,False,0,train
12,34,11,14,31,2021-02-01,False,0,train
13,34,12,14,32,2021-02-02,False,0,train
14,34,13,14,33,2021-02-03,False,0,train
15,34,14,14,34,2021-02-04,False,0,train
16,34,15,14,35,2021-02-05,False,0,train
17,34,16,14,36,2021-02-06,False,0,train
18,34,17,14,37,2021-02-07,False,0,train
19,34,18,14,38,2021-02-08,False,0,train
20,34,19,14,39,2021-02-09,False,0,train
21,34,20,14,40,2021-02-10,False,0,train
22,34,21,14,41,2021-02-11,False,0,train
23,34,22,14,42,2021-02-12,False,0,train
24,34,23,14,43,2021-02-13,False,0,train
25,34,24,14,44,2021-02-14,False,0,train
26,34,25,14,45,2021-02-15,False,0,train
27,34,26,14,46,2021-02-16,False,0,train
28,34,27,14,47,2021-02-17,False,0,train
29,34,28,14,48,2021-02-18,False,0,train
30,34,29,14,49,2021-02-19,False,0,train
31,34,30,14,50,2021-02-20,False,0,train
32,34,31,14,51,2021-02-21,False,0,train
33,34,32,14,52,2021-02-22,False,0,train
34,34,33,14,53,2021-02-23,False,0,train
35,34,34,14,54,2021-02-24,False,0,train
36,34,35,14,55,2021-02-25,False,0,train
37,34,36,14,56,2021-02-26,False,0,train
38,34,37,14,57,2021-02-27,False,0,train
39,34,38,14,58,2021-02-28,False,0,train
40,34,39,14,59,2021-03-01,False,0,train
41,34,40,14,60,2021-03-02,False,0,train
42,34,41,14,61,2021-03-03,False,0,train
43,34,42,14,62,2021-03-04,False,0,train
44,34,43,14,63,2021-03-05,False,0,train
45,34,44,14,64,2021-03-06,False,0,train
46,34,45,14,65,2021-03-07,False,0,train
47,34,46,14,66,2021-03-08,False,0,train
48,34,47,14,67,2021-03-09,False,0,train
49,34,48,14,68,2021-03-10,False,0,train
50,34,49,14,69,2021-03-11,False,0,train
51,34,50,14,70,2021-03-12,False,0,train
52,34,51,14,71,2021-03-13,False,0,train
53,34,52,14,72,2021-03-14,False,0,train
54,34,53,14,73,2021-03-15,False,0,train
55,34,54,14,74,2021-03-16,False,0,train
56,34,55,14,75,2021-03-17,False,0,train
57,34,56,14,76,2021-03-18,False,0,train
58,34,57,14,77,2021-03-19,False,0,train
59,34,58,14,78,2021-03-20,False,0,train
60,34,59,14,79,2021-03-21,False,0,train
61,34,60,14,80,2021-03-22,False,0,train
62,34,61,14,81,2021-03-23,False,0,train
63,34,62,14,82,2021-03-24,False,0,train
64,34,63,14,83,2021-03-25,False,0,train
65,34,64,14,84,2021-03-26,False,0,train
66,34,65,14,85,2021-03-27,False,0,train
67,34,66,14,86,2021-03-28,False,0,train
68,34,67,14,87,2021-03-29,False,0,train
69,34,68,14,88,2021-03-30,False,0,train
70,34,69,14,89,2021-03-31,False,0,train
71,34,70,14,90,2021-04-01,False,0,train
72,34,71,14,91,2021-04-02,False,0,train
73,34,72,14,92,2021-04-03,False,0,train
74,34,73,14,93,2021-04-04,False,0,train
75,34,74,14,94,2021-04-05,False,0,train
76,34,75,14,95,2021-04-06,False,0,train
77,34,76,14,96,2021-04-07,False,0,train
78,34,77,14,97,2021-04-08,False,0,train
79,34,78,14,98,2021-04-09,False,0,train
80,34,79,14,99,2021-04-10,False,0,train
81,34,80,14,100,2021-04-11,False,0,train
82,34,81,14,101,2021-04-12,False,0,train
83,34,82,14,102,2021-04-13,False,0,train
84,34,83,14,103,2021-04-14,False,0,train
85,34,84,14,104,2021-04-15,False,0,train
86,34,85,14,105,2021-04-16,False,0,train
87,34,86,14,106,2021-04-17,False,0,train
88,34,87,14,107,2021-04-18,False,0,train
89,34,88,14,108,2021-04-19,False,0,train
90,34,89,14,109,2021-04-20,False,0,train
91,34,90,14,110,2021-04-21,False,0,train
92,34,91,14,111,2021-04-22,False,0,train
93,34,92,14,112,2021-04-23,False,0,train
94,34,93,14,113,2021-04-24,False,0,train
95,34,94,14,114,2021-04-25,False,0,train
96,34,95,14,115,2021-04-26,False,0,train
97,34,96,14,116,2021-04-27,False,0,train
98,34,97,14,117,2021-04-28,False,0,train
99,34,98,14,118,2021-04-29,False,0,train
100,34,99,14,119,2021-04-30,False,0,train
101,34,100,14,120,2021-05-01,False,0,train
102,34,101,14,121,2021-05-02,False,0,train
103,34,102,14,122,2021-05-03,False,0,train
104,34,103,14,123,2021-05-04,False,0,train
105,34,104,14,124,2021-05-05,False,0,train
106,34,105,14,125,2021-05-06,False,0,train
107,34,106,14,126,2021-05-07,False,0,train
108,34,107,14,127,2021-05-08,False,0,train
109,34,108,14,128,2021-05-09,False,0,train
110,34,109,14,129,2021-05-10,False,0,train
111,34,110,14,130,2021-05-11,False,0,train
112,34,111,14,131,2021-05-12,False,0,train
113,34,112,14,132,2021-05-13,False,0,train
114,34,113,14,133,2021-05-14,False,0,train
